reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
2179,Votalia - Taqa Arabia -phase 2 ,EGY,2032.0,,Concept,Other Electrolysis,Ammonia,,1GW,500,111111.11111111112,[1872] [2591],Ain Sokhna port
2180,Nujio'qonik Green Hydrogen -phase 1,CAN,2031.0,,Feasibility study,PEM,Ammonia,,650 MW - 400 kt ammonia/y production,650,125000,[1873][1975],"Stephenville, Canada"
2181,RIC Energy Valladolid -phase 2,ESP,,,Concept,Other Electrolysis,H2,,5MW,5,1111.111111111111,[1874],Polígono Industrial La Encomienda
2184,Ground Investment Corp (GIC) - green hydrogen project,ROU,,,Feasibility study,PEM,H2,,10MW,10,1923.076923076923,[1877],Random location in Romania
2185,Nascar,ESP,2026.0,,Feasibility study,Other Electrolysis,MeOH,,7.2 kt H2/y (production),138.52547329536708,30783.438510081578,[1878],Tabernas
2187,Vientos Magallanicos,CHL,2030.0,,Concept,Other Electrolysis,Ammonia,,800MW,800,177777.77777777778,[1880] [2125],Laguna Blanca
2188,Dow Stade,DEU,,,Concept,Other Electrolysis,MeOH,,200kt MeOH/y,387.48045656699855,86106.76812599969,[1881],Hamburgo
2189,"Swiss Liquid Future - Elkem, methanol plant",NOR,,,Concept,ALK,MeOH,,100 million litres of mthanol/y (production),819.811572952699,178219.9071636302,[1882],Mo Industrial Park
2190,Eastern Cape MeOH plant,ZAF,2027.0,,Feasibility study,Other Electrolysis,MeOH,,120MW,120,26666.666666666668,[1883],Humansdorp
2191,Maersk - Ørsted methanol Gulf plant,USA,2028.0,,Feasibility study,Other Electrolysis,MeOH,,675MW,675,150000,[1884],Random location in Florida
2192,Maersk - Carbon Sink methanol plant,USA,2027.0,,Feasibility study,Other Electrolysis,MeOH,,100kt MeOH/y,220.86386024318918,49080.85783181982,[1885],Rosholt
2193,"H2 Emden Electrolyzer, phase 2",DEU,2030.0,,Feasibility study,Other Electrolysis,H2,,200MW,190,42222.222222222226,[1886],Emden
2195,Element Resources - Lancaster,USA,2026.0,,Feasibility study,ALK,H2,,135MW,135,29347.826086956524,[1888][3048],Lancaster
2196,Solar methanol,AUS,2028.0,,Feasibility study,PEM,MeOH,,10MW,10,1923.076923076923,[1889],Port Augusta 
2197,ScaleH2,AUS,,,Feasibility study,Other Electrolysis,Ammonia,,1GW,1000,222222.22222222225,[1889],Illawarra 
2198,Omnia - WKN Windcurrent  green ammonia plant,ZAF,,,Concept,Other Electrolysis,Ammonia,,100 kt NH3/y production,207.87135848644522,46193.63521921005,[1890],Random location in South Africa
2199,Brooge Renewable Energy's (BRE) renewable ammonia plant ,ARE,,,Feasibility study,Other Electrolysis,Ammonia,,600 kt NH3/y production,2078.7135848644525,461936.35219210054,[1891],Abu Dhabi
2200,Pronghorn H2,USA,2028.0,,Concept,Other Electrolysis,H2,,1000MW,1000,222222.22222222225,[1892],Random location in Wyoming
2201,Gobi H2,MNG,,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[1893],Random region in south Gobi region
2202,Sustainable Fuels Group - CIP Carbon reduced Ammonia plant St Rose (LA),USA,2027.0,,Feasibility study,NG w CCUS,Ammonia,,4 kt NH3/d (production),,0,[1894],Random location in Gulf Coast
2203,China State Shipbuilding (CSSC) 500MW wind power hydrogen methanol production project in Tong Liao ,CHN,2026.0,,FID/Construction,ALK,MeOH,,280 kt MeOH/y capacity,316.0807244369196,68713.20096454774,[1895][2553] [2614][3229],Tong Liao 
2204,"Hy2gen Yucatan Marengo project,  1",MEX,2028.0,,Concept,ALK,Ammonia,,160MW,160,34782.608695652176,[1896],"Campeche, Yucatan"
2205,"Hy2gen Yucatan Marengo project,  2",MEX,2028.0,,Concept,PEM,Ammonia,,40MW,40,7692.307692307692,[1896],"Campeche, Yucatan"
2207,GuofuHee - CMEC - Longyuan Power grren H2 plant in Inner Mongolia,CHN,,,Concept,Other Electrolysis,H2,,3.3 kt H2/y (production),38.09450515622594,8465.445590272433,[1898],Fengzhen
2208,Lhyfe Bade-Würtemberg,DEU,2025.0,,FID/Construction,ALK,H2,,10MW,10,2173.913043478261,[1900],Schwäbisch Gmünd 
2209,"Fiume Santo, demo plant",ITA,,,DEMO,PEM,H2,,1MW,1,192.30769230769232,[1901],Fiume Santo
2210,"Fiume Santo, comercial plant",ITA,2030.0,,Feasibility study,Other Electrolysis,H2,,50MW,50,11111.111111111111,[1901],Fiume Santo
2211,OX2 Neptunus Hub,SWE,2030.0,,Concept,Other Electrolysis,H2,,225 kt H2/y (production),2361.229658443757,524717.7018763905,[1902],Aprox location in the map
2212,"Urbaser methanol plant, phase 1",ESP,2026.0,,Feasibility study,Biomass,MeOH,,66 kt MeOH/y (production),,10797.760504848391,[1903],Zaragoza
2213,"Urbaser methanol plant, phase 2",ESP,2028.0,,Concept,Other Electrolysis,MeOH,,70 kt MeOH/y (production),154.6047021702324,34356.60048227387,[1903],Zaragoza
2214,"Los Barrios coal plant, Cadiz, phase 2",ESP,2030.0,,Feasibility study,Other Electrolysis,H2,,100MW,100,22222.222222222223,[1904],Los Barrios
2215,"Los Barrios coal plant, Cadiz, phase 3",ESP,2030.0,,Concept,Other Electrolysis,H2,,400MW,400,88888.88888888889,[1904],Los Barrios
2216,Hydrogen Utopia waste-to-plastic plant,IRL,,,Feasibility study,Biomass,H2,,,,0,[1905],Longford County
2217,Toqlukuti'k Wind and H2 Project - Phase 1,CAN,2029.0,,Feasibility study,Other Electrolysis,H2,1,35 kt H2/y (production),505.0407880560258,112231.28623467241,[1906] [2123],Come By Chance refinery 
2218,Holmaneset Project (GAP FFI Holmaneset),NOR,2027.0,,Feasibility study,PEM,Ammonia,,300MW,300,57692.307692307695,[1907],Holmaneset 
2219,Onyx plant - Port of Rotterdam,NLD,2028.0,,Feasibility study,NG w CCUS,H2,,300kt H2/y,,0,[1908],Port of Rotterdam
2221,"Chubu Electric Power - Chiyoda - Hazer, phase 1",JPN,2030.0,,Concept,Other,H2,,2.5-10 kt H2/y,,8016.520445333745,[1910],Chubu region
2222,"Chubu Electric Power - Chiyoda - Hazer, phase 2",JPN,,,Concept,Other,H2,,50-100 kt H2/y,,96198.24534400493,[1910],Chubu region
2223,Adams Fork Energy (WV),USA,2028.0,,Concept,NG w CCUS,Ammonia,,6kt NH3/d - 3.6 Mt CO2/y,,451355.1939698946,[1911],Mingo county
2224,Horizonte de Verano - Summer Horizon - phase 1,PER,2027.0,,Concept,Other Electrolysis,Ammonia,,"0.42 Mt NH3/y , production",873.0597056430698,194013.2679206822,[1912] [2565],"Arequipa, Peru"
2225,Pampas,ARG,2030.0,,Feasibility study,Other Electrolysis,H2,,35 kt H2/y (production),505.0407880560258,112231.28623467241,[1913],Patagonia Argentina
2226,Bear Head Energy - Nova Scotia project Phase 1a,CAN,2030.0,,Feasibility study,Other Electrolysis,Ammonia,,2 Mt NH3/y (Production),2969.590835520646,659909.0745601436,[1914],Point Tupper port
2227,"Hive H2 Albamed, phase 1",ESP,2027.0,,Feasibility study,Other Electrolysis,H2,,800MW,800,177777.77777777778,[1915],Albacete
2228,"Hive H2 Albamed, phase 2",ESP,2030.0,,Concept,Other Electrolysis,H2,,800MW,800,177777.77777777778,[1915],Albacete
2231,Dominica Geothermal Development Company - Kenesjay green hydrogen plant,DMA,,,Concept,Other Electrolysis,H2,,27-30 Kt H2/y (production),164.49899953824843,36555.33323072187,[1918],Portsmouth
2232,ErasmoPower2X,ESP,2029.0,,Feasibility study,Other Electrolysis,H2,,325MW,325,72222.22222222223,[1919] ,Puertollano 
2233,Electrolysis Corridor East Germany (H2 Corridor) Phase I - Pasewalk,DEU,2029.0,,Feasibility study,Other Electrolysis,H2,,60MW,60,13333.333333333334,[1920][3324],Pasewalk
2234,Green Pegasus,CHL,,,Concept,Other Electrolysis,Ammonia,, 459000 t NH3/y production,1590.2158924213063,353381.309426957,[1921],Chile 
2235,H2Montoir,FRA,,,Concept,Other,H2,,2500 t H2/yr production,,3562.897975703886,[1922],"LNG import and regasification terminal (Montoir-de-Bretagne, Loire-Atlantique, Pays de la Loire, France)"
2236,JSW Steel ,IND,2025.0,,FID/Construction,ALK,H2,,25MW,25,5434.782608695652,[1924][1973],Vijayanagar
2237,Idemitsu Refinery - H2 from municipal waste,JPN,2030.0,,Concept,Biomass w CCUS,H2,1,15 t H2/d production,,7802.74656679151,[1924],"Chita, Japan"
2238,Argentia Renewables Project ,CAN,,,Feasibility study,ALK,Ammonia,,1.3GW,1300,282608.6956521739,[1925],Port of Argentia
2239,Solatio - Ammonia project state of Piaui (phase I),BRA,2028.0,,Feasibility study,Other Electrolysis,Ammonia,,1.9GW or 283 kton H2 1.6MtNH3/y production,1633.4462059412035,362988.0457647119,[1926] [2638],Piaui state
2240,Solatio - Ammonia project Parnaiba export zone (phases II to VI),BRA,2028.0,,Concept,Other Electrolysis,Ammonia,,9.5GW or 1.42 Mton H2 8MtNH3/y production,8178.774819147298,1817505.5153660665,[1926] [2638],Piaui state
2241,Koping - Waste-to-Hydrogen,SWE,,,Feasibility study,Biomass w CCUS,H2,,12 kt H2/y production,,17101.910283378653,[1927],Koping
2243,H2 production for a H2 Fuell station ,NLD,2026.0,,FID/Construction,AEM,H2,,1MW,1,210,[1929],Oude Tonge
2246,"Repsol Tarragona, phase 1",ESP,2027.0,,Feasibility study,ALK,H2,1,150MW,150,32608.695652173912,[1932],Tarragona refinery
2248,Breogan project,ESP,,,Feasibility study,Other Electrolysis,Synfuels,,10 kt H2/y (production),115.43789441280592,25652.865425067983,[1934],Curtis-Teixeiro biomass plant
2250,BalticSeaH2,EST,,,Feasibility study,Other Electrolysis,H2,,100 kt H2/y (production),1049.435403752781,233207.867500618,[1936],Random location between Finland and Estonia
2252,Calix green steel plant,AUS,,,Feasibility study,Other Electrolysis,H2,,30 kt DRI,10.389410497152532,2308.7578882561183,[1938],Random location in Australia
2253,HYRO  3 Northfleet- Kimberly-Clark project (2 pamts),GBR,2026.0,,Feasibility study,Other Electrolysis,H2,,17 MW,17,3777.7777777777783,[1939],Northfleet
2254,Ver-Amonia,ESP,2034.0,,Feasibility study,Other Electrolysis,Ammonia,,25MW,25,5555.555555555556,[1940][2973],Teruel
2255,Green Port Langosteira,ESP,,,Feasibility study,Other Electrolysis,Ammonia,,150 kt NH3/y (Production),311.8070377296678,69290.45282881508,[1941],Langosteira 
2256,Raven Iberia Zaragoza waste-to-hydrogen plant,ESP,2026.0,,Feasibility study,Biomass,H2,,1.6 kt H2/y,,2280.254704450487,[1942],Zaragoza
2257,Invenergy Port of Grays Harbor,USA,2026.0,,Concept,Other Electrolysis,H2,,45t H2/d,189.60674157303373,42134.83146067416,[1943],Port of Grays Harbour
