reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
1015,Hydrogen Energy Equipment Industrial Cluster Project in Handan Economic and Technological Development Zone,CHN,2026.0,,Concept,Other Electrolysis,H2,,,,0,[831],Handan Economic and Technological Development Zone
1016,Zhangjiakou Yangyuan Jingxi New Energy Base Project,CHN,,,Concept,Other Electrolysis,H2,,,,0,[831],Zhangjiakou
1017,CGN Baicheng Hydrogen Production Project - Jilin,CHN,2023.0,,DEMO,Other Electrolysis,H2,,50 Nm3 H2/h,0.22499999999999998,50,[832],Jilin
1021,"Datong City solar plant, phase 2",CHN,,,Concept,Other Electrolysis,H2,,50MW,40,8888.888888888889,[770] [836],Datong City
1022,H2Pioneer - H2 Carinthia,AUT,2023.0,,Operational,PEM,H2,,2MW,2,384.61538461538464,[837][1061],Infineon's Villach site
1023,WIVA P&G Hydrogen Region,AUT,,,Feasibility study,Other Electrolysis,H2,,10t H2/d,21.06741573033708,4681.647940074907,[838],
1026,Matra power pant,HUN,,,Concept,Other Electrolysis,H2,,,,0,[845][3157],Matra power pLant
1027,"Konin Power Plant, phase 1 - ZE PAK",POL,2024.0,,Operational,PEM,H2,,2.5MW,2.5,480.7692307692308,"[846], Platts European Gas Daily 23-07-2021, [1635][2864]",Konin Power Plant
1028,Project AIR (Perstorp - Stenungsund),SWE,2027.0,,Feasibility study,ALK,MeOH,,30 MW - 50kt MeOH/y,25,5434.782608695652,[847] [1363][1437][1899][2865],Stenungsund
1029,Reichenau power plant,CHE,2024.0,,Operational,Other Electrolysis,H2,,2.5MW,2.5,555.5555555555555,[1645][2413],Reichenau power plant
1030,Steklarna Hrastnik glass manufactuing plant,SVN,2021.0,,Operational,Other Electrolysis,H2,,0.15MW,0.15,33.333333333333336,[848],Steklarna Hrastnik glass manufactuing plant
1032,Solar Global group headquarters,CZE,,,Concept,Other Electrolysis,H2,,,,0,[842],
1033,Greening of Gas (GoG) - Net4Gas DEMO,CZE,,,Concept,Other Electrolysis,CH4,,50m3 CH4/h,0.44999999999999996,100,[843] [853][3158],
1034,Lingen Green Hydrogen (LGH2) Phase 2,DEU,,,Concept,Other Electrolysis,H2,1,500MW,400,88888.88888888889,"[272][638], Platts European Gas Daily 08-12-2021",Lingen BP Refinery
1035,HyMAT SH,DEU,2026.0,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[844] [2399],Random location in Germany
1036,We-4-PUR,DEU,,,Feasibility study,Other Electrolysis,H2,,25MW,25,5555.555555555556,[844],Random location in Germany
1037,H2 in the Ketzin energy transition laborator,DEU,,,Feasibility study,Other Electrolysis,H2,,2MW,2,444.44444444444446,[844],Ketzin
1038,Green Energy Hub Helmstedt,DEU,,,Feasibility study,Other Electrolysis,MeOH,,20MW,20,4444.444444444444,[844],Helmstedt
1039,Speicherstadt Kerpen,DEU,,,Feasibility study,Other Electrolysis,H2,,,,0,[844],
1041,SLOP2G Project,SVN,,,Concept,Other Electrolysis,CH4,,,,0,[849],
1042,Thermal Power Plant Sostanj,SVN,2000.0,,Operational,Other Electrolysis,H2,,0.1MW,0.1,22.222222222222225,,Thermal Power Plant Sostanj
1043,TPJ Jesenice,SVN,2000.0,,Operational,Other Electrolysis,H2,,0.35MW,0.35,77.77777777777779,,
1044,H2MUCTYNIC,SVK,,,Concept,Other Electrolysis,H2,,20MW,20,4444.444444444444,[2401],
1045,"Dolphyn 1, phase 1",GBR,2027.0,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[850] [2366],15 km Southeast Aberdeen
1046,"Dolphyn 1, phase 2",GBR,2032.0,,Concept,Other Electrolysis,H2,,100MW,90,20000,[850] [2366],15 km Southeast Aberdeen
1048,"Humber H2ub (Green), phase 1",GBR,2029.0,,Feasibility study,PEM,H2,1,120 MW,120,23076.923076923078,[852][2674],Killingholme Power Station
1050,P2G Velke Kapusany,SVK,,,Concept,Other Electrolysis,H2,,78MW,78,17333.333333333336,[853],Velke Kapusany
1052,"Element One (Element Eins), phase 3",DEU,2028.0,,Feasibility study,ALK,CH4,,1.8 GWh H2/d production,232.81708674967103,50612.410162971966,[382], East Frisia
1053,"Green Hydrogen Hub, phase 1","DEU
DNK",2027.0,,Concept,Other Electrolysis,H2,,300MW,,0,[853],Hobro
1054,"Green Hydrogen Hub, phase 2","DEU
DNK",2031.0,,Concept,Other Electrolysis,H2,,1GW,,0,[853],Hobro
1057,Pegasus,ITA,,,Feasibility study,Other Electrolysis,CH4,,23MW,23,5111.111111111111,[853] [855],
1058,"Electrolyzers with ""network related function"" in Apulia - Phase 1",ITA,2026.0,,Concept,Other Electrolysis,CH4,,90MW,90,20000,"[853], Data from Snam",Random location in Apulia
1059,Hydrogen injection into the gas network in Lithuania,LTU,2025.0,,DEMO,Other Electrolysis,H2,,1MW,1,222.22222222222223,[853][1003],Random location Lithuania
1060,Power to Gas Production with infrastructure building/enhacement in Latvia,LVA,,,Concept,Other Electrolysis,H2,,,,0,[853],Random location Latvia
1061,"G2F - Gas to Future, phase 1",SVK,,,Concept,Other Electrolysis,H2,,84MW,84,18666.666666666668,[853],
1062,"G2F - Gas to Future, phase 2",SVK,,,Concept,Other Electrolysis,H2,,332MW,248,55111.11111111112,[853],Random location in Slovakia
1063,Herten HRS,DEU,,,FID/Construction,PEM,H2,,0.44kt H2/y,2.9346878046277767,564.3630393514956,[856] [869],Herten
1064,Vallée Hydrogène Grand Ouest (VHyGO) - Saint-Nazaire,FRA,2023.0,,Operational,Other Electrolysis,H2,,1.5MW,1.5,333.33333333333337,[857] [858] [1628],"Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France"
1065,Vallée Hydrogène Grand Ouest (VHyGO) - Dieppe,FRA,2027.0,,Concept,Other Electrolysis,H2,,0.5 MW,0.5,111.11111111111111,[857] [858],"Dieppe, Seine-Maritime, Normandie, France"
1066,NEL-Lhyfe Agreement,FRA,2027.0,,Concept,Other Electrolysis,,,60MW,,0,,
1067,McDermott - CB&I 2nd project,USA,,,Feasibility study,Other Electrolysis,H2,,50MW,50,11111.111111111111,[761] [859],
1069,HYBAYERN,DEU,2024.0,,Operational,PEM,H2,,1.18t H2/d - 5MW,5,961.5384615384615,[867][2866],Random location in Germany
1071,Norddeutsches Reallabor - Living Lab Northern Germany,DEU,2026.0,,Feasibility study,PEM,H2,1,10t H2/d production,48.68913857677903,9363.295880149813,[3102],Aproximate location from project webpage
1076,Pertamina Ulubelu geothermal plant,IDN,2025.0,,FID/Construction,Other Electrolysis,H2,1,100 kg H2/d - 0.5MW,0.5,111.11111111111111,[878] [879] [1332] [1636],Ulubelu geothermal plant
1077,P2X Harjavalta project,FIN,2025.0,,Operational,ALK,CH4,,20MW,20,4347.826086956522,[881][1228][1475] [1614][2916],Harjavalta Industrial Park
1078,Ercros - Sabinanigo,ESP,,,Feasibility study,ALK,H2,,0.9MW,0.9,195.6521739130435,[1644][2386],Sabiñánigo
1079,OMNI CT - California,USA,,,Feasibility study,Biomass,H2,,5kt H2/y,,6413.216356266995,[886],Random location in California
1080,Djeva,CHE,2010.0,,Operational,ALK,H2,,7MW or 600 t H2/y,7,1521.7391304347827,[887],Monthey
1081,Sapio - Mantova,ITA,2016.0,,Operational,NG w CCUS,H2,,1500 Nm3 H2/h,,0,,Mantova
1082,Woikoski Kokkola H2 plant,FIN,2014.0,,Operational,ALK,H2,,9MW,9,1956.5217391304348,[888],Kokkola
1083,HyEnergy Zero Carbon Hydrogen,AUS,2030.0,,Feasibility study,Other Electrolysis,H2,,12000MW,12000,2666666.666666667,[889][890][1202][1468][2907],"Carnarvon, Western Australia"
1084,Yellow Sea,CHN,,,Concept,Other Electrolysis,H2,,2000MW,2000,444444.4444444445,[889],Qingdao
1085,HNH,CHL,2029.0,,Feasibility study,Other Electrolysis,Ammonia,,1.3 GW,1300,288888.88888888893,[889][891][1220] [2713][3070],Random location in Magallanes
1086,Rostock - RWE - (HyTechHafen-Rostock),DEU,2027.0,,Feasibility study,Other Electrolysis,H2,,100MW,100,22222.222222222223,[889][945][1988],Port of Rostock
1087,CRS4-Italgas Sardinia,ITA,,,Concept,Other Electrolysis,CH4,,,,0,[893],Random location in Sardinia
1090,"BP Castellon refinery, phase 1 (HyVal)",ESP,2026.0,,FID/Construction,PEM,H2,1,25 MW,25,4807.692307692308,[895] [2603] [2604],BP oil refinery Castellon
1091,SmartQuart project - Kaisersesch ,DEU,2025.0,,FID/Construction,PEM,H2,,1MW,1,192.30769230769232,[896] [1343] [1688][2268],Kaisersesch
1093,"Canary Islands Hub, phase 1",ESP,,,Feasibility study,Other Electrolysis,H2,,1kt H2/y,5.7718947206402955,1282.643271253399,[900],
1094,"Canary Islands Hub, phase 2",ESP,,,Concept,Other Electrolysis,H2,,,,0,[900],
1095,ATCO Heartland Hydrogen Hub - Heartland hydrogen hub (ALB),CAN,,,Feasibility study,NG w CCUS,H2,,300 kt H2/y,,0,[901] 2024 ref [3059],Fort Saskatchewan
1096,Donghae 1 offshore wind plant,KOR,2027.0,,Feasibility study,Other Electrolysis,H2,,100MW,100,22222.222222222223,[904] [2402],Ulsan
1097,Turquoise Hydrogen,AUS,,,FID/Construction,Other,H2,,150 kg H2/d,,70.2247191011236,[906][907][2234],Gladstone
1100,BayoTech - St Louis Hub,USA,2023.0,,Operational,NG w CCUS,H2,,350t H2/y,,0,[908][1652] [2201],"St Louis, Missouri"
1108,Roadrunner,USA,2027.0,,FID/Construction,PEM,Synfuels,,14 kt synfuels/y capacity - 100MW,100,19230.76923076923,[2335][3188],"Reeves County, TX"
1109,"Green Energy Oman (GEO), phase 1 (former Oman-Al Wusta green H2 project)",OMN,2030.0,,Feasibility study,Other Electrolysis,Ammonia,,150 kt H2/y production,1731.5684161920885,384792.9813760197,[913] [928][980]]3077],Al Wusta
1110,Plug Power - Fort Worth,USA,2028.0,,Feasibility study,PEM,H2,,120MW,120,23076.923076923078,[914][1663] [2229][3015],"Fort Worth, Texas"
1113,HyDeal LA,USA,,,Feasibility study,Other Electrolysis,H2,,,,0,[917],
1114,Energiepark Eemshaven West (phase I),NLD,2026.0,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[920] [1662],Port of Eems
1115,Energiepark Eemshaven West (phase II),NLD,2027.0,,Feasibility study,Other Electrolysis,H2,,100MW,100,22222.222222222223,[920] [1662],Port of Eems
1116,ELYgator,NLD,2027.0,,FID/Construction,Other Electrolysis,H2,1,200MW,200,44444.444444444445,[920] [1437] [1662][3287],Maasvlakte
1118,Zeeland Refinery - H2ero,NLD,,,Feasibility study,Other Electrolysis,H2,1,150MW,150,33333.333333333336,[920]2025 ref [3091],Zeeland Refinery 
1119,FUREC,NLD,2027.0,,Feasibility study,Biomass,H2,,54 kt H2/y,,69262.73664768355,[920],Chemelot
1120,BrigH2,NLD,2027.0,,Feasibility study,Biomass,H2,,50MW H2,,16853.932584269663,[920] [1662],
1121,Hydrogen Wind Turbine in Wieringerwerf,NLD,2025.0,,FID/Construction,PEM,H2,,5 MW,5,961.5384615384615,[920] [1662] [2316],Wieringermeer
1122,H2-gateway,NLD,2030.0,,Feasibility study,NG w CCUS,H2,,0.2Mt H2/y - 1.8 Mt CO2,,225677.5969849473,[920] [1662] [2435][3060],
1123,Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,CHN,2026.0,,FID/Construction,ALK,H2,,10kt H2/y capacity,59.00159047765636,12826.432712533991,[922] [972] [1302][1653][1857],Ordos
1124,Sinopec - Kuqa,CHN,2023.0,,Operational,ALK,H2,1,260MW,260,56521.739130434784,[922][972][1148][1876][1990],Kuqa
1125,Pecos County Ultra Clean Fuels Refining (TX),USA,,,Feasibility study,NG w CCUS,H2,1,,,0,[923],"Pecos, Texas"
1126,GreenHyScale,DNK,2026.0,,Feasibility study,ALK,H2,,100MW,100,21739.130434782608,[924][1101][1231],Skive
1127,EI-H2 - Aghada (phase 1),IRL,2026.0,,Feasibility study,Other Electrolysis,H2,1,50MW,50,11111.111111111111,[925][981],Aghada
1128,Green lab skive (Phase II),DNK,2027.0,,Feasibility study,Other Electrolysis,MeOH,,24MW,18,4000.0000000000005,[641][924][926][1249],Skive
1129,Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 1,ARE,,,Feasibility study,ALK,Ammonia,,35kt NH3/y production,123.95292117154699,26946.28721120587,[927],Abu Dhabi
1130,"HySynergy, phase 3",DNK,2030.0,,Feasibility study,ALK,H2,1,1000W,700,152173.91304347827,[288] [331],Fredericia refinery
1134,Kapuni Green Hydrogen Project - Taranaki,NZL,2026.0,,FID/Construction,Other Electrolysis,H2,,2t H2/d,4.213483146067415,936.3295880149813,[932],Taranaki
1137,Horizon H2 capture tailings CCS (ALB),CAN,2017.0,,Operational,NG w CCUS,H2,1,438000t CO2/y,,54914.881933003846,[933-934],"Horizon Oil Sands, Alberta"
1139,Hyundai Oilbank - Blue H2 Ecosystem,KOR,,,Feasibility study,NG w CCUS,H2,,100kt H2/y,,0,[937],
1140,Forestal del Atlántico - Triskelion,ESP,2027.0,,Feasibility study,Other Electrolysis,MeOH,,40 kt MeOH/y production,88.34532735673922,19632.29496816427,[938] [2490],Forestal del Atlántico
1141,SoHyCal,USA,2023.0,,Operational,PEM,H2,,7.5MW,7.5,1442.3076923076924,[939][940][2192],"Fresno, CA"
1142,Bee’ah waste-to-hydrogen,ARE,,,Concept,Biomass,H2,,20 tH2/d,,9363.295880149813,[941] [2764],Abu Dhabi
1143,Industrial Cachimayo,PER,1965.0,,Operational,ALK,Ammonia,,25MW or 50t NH3/d,25,5434.782608695652,[942],Industrial Cachimayo
1144,Dos Bocas refinery,MEX,,,Concept,NG w CCUS,H2,1,,,0,,Dos Bocas refinery
1145,Sirea - Castres site,FRA,2021.0,,Operational,Other Electrolysis,H2,,0.43MW,0.43,95.55555555555556,[943],"Castres, Tarn, Occitanie, France"
1146,Rostock - RWE (future phases),DEU,,,Concept,Other Electrolysis,H2,,1000MW,900,200000.00000000003,[889][945][1998],Port of Rostock
1147,Hy4Chem - BASF Ludwigshafen,DEU,2025.0,,Operational,PEM,H2,,54MW,54,10384.615384615385,[945][2223][3013][3052],Ludwigshafen
1148,Davis-Besse Nuclear Power Station,USA,2021.0,,DEMO,PEM,H2,,2MW,2,384.61538461538464,,"Oak Harbor, OH"
1149,Prairie Island,USA,2021.0,,DEMO,SOEC,H2,,200kW,0.2,52.631578947368425,,Prairie Island nuclear plant
1151,Bruce Nuclear Clean Energy Frontier Hydrogen Hub,CAN,,,Feasibility study,ALK,H2,,,3,652.1739130434783,,Bruce Nuclear Generating Station
1155,Kola Nuclear Power Plant demo,RUS,2022.0,,Operational,PEM,H2,,1MW,1,192.30769230769232,[1598-1599],Kola Nuclear Power Plant
1156,Hydrogen Lab Bremerhaven (phase 1),DEU,2023.0,,Operational,PEM,H2,,1MW,1,192.30769230769232,[948][949] [2215],Bremerhaven
1157,Hydrogen Lab Bremerhaven (phase 2),DEU,,,Concept,Other Electrolysis,H2,,10MW,9,2000.0000000000002,[948][949],Bremerhaven
1158,Hydrogen Lab Leuna (phase 1),DEU,2021.0,,Operational,SOEC,MeOH,,1MW,1,263.1578947368421,[948][949],Leuna
1159,Hydrogen Lab Leuna (phase 2),DEU,,,Concept,Other Electrolysis,Synfuels,,5MW,4,888.8888888888889,[948][949],Leuna
1160,Hydrogen Lab Gorlitz,DEU,2023.0,,DEMO,Other Electrolysis,H2,,2 MW,2,444.44444444444446,[948][949][950],Gorlitz
1161,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,H2,,100MW,,0,[951],
1162,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Other Electrolysis,H2,,10MW,,0,[951],
1163,Hydrogen Eagle (various hubs),POL,2030.0,,Feasibility study,Biomass,H2,,15kt H2/y,,0,[951],
1164,Hydrogen Eagle (Litvínov),CZE,2028.0,,Feasibility study,PEM,H2,1,30MW,30,5769.2307692307695,[951],Litvínov
1165,Hydrogen Eagle (Spolana),CZE,,,Feasibility study,Other Electrolysis,H2,,18MW,18,4000.0000000000005,[951],"Spolana, s.r.o."
1166,"Hydrogen Eagle (Spolana), phase 1",CZE,,,Feasibility study,Other Electrolysis,H2,,6MW,6,1333.3333333333335,[951],"Spolana, s.r.o."
1167,Hydrogen Eagle (various hubs),SVK,2030.0,,Feasibility study,Other Electrolysis,H2,,60MW,60,13333.333333333334,[951],Random location in Slovakia
1169,GreenH2Atlantic,PRT,2028.0,,Feasibility study,PEM,H2,1,100 MW,100,19230.76923076923,[952] [2117],Sines refinery
1170,Porto do Acu Fortescue Ammonia Project,BRA,,,Feasibility study,Other Electrolysis,H2,,300MW,300,66666.66666666667,[955] [956],Port of Açu/Rio de Janeiro State
1171,Hoasis (TCP Gecomp),CHL,2030.0,,Concept,Other Electrolysis,Ammonia,,2100MW or 102 kt H2/y production,2100,466666.6666666667,[959],Random location in Antofagasta
1172,Ecopetrol Green Hydrogen Pilot ,COL,2022.0,,DEMO,PEM,H2,,50kW,0.05,9.615384615384617,[960][1299],"Mamonal, Provincia de Cartagena, Bolívar"
1174,METH2 Atacama,CHL,,,Concept,Other Electrolysis,MeOH,,300 MW,300,66666.66666666667,,Random location in Antofagasta
1175,Villa Lisa ,PRY,,,Feasibility study,Other Electrolysis,H2,,200kgH2/day,0.4213483146067415,93.63295880149812,[962][963][964],Villa Lisa 
1176,Ciudad del Este ,PRY,,,Concept,Other Electrolysis,H2,,,,0,[963],Ciudad del Este 
1177,Encarnacion ,PRY,,,Concept,Other Electrolysis,H2,,,,0,[963],Encarnacion 
1178,TA’ZIZ blue ammonia,ARE,2030.0,,Feasibility study,NG w CCUS,Ammonia,,1000 kt NH3/y,,0,[965][3117],Abu Dahbi
1180,BHP Nickel West Green Hydrogen ,AUS,,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[967],BHP Nickel West
1181,Dawson Mine,AUS,,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[967],Dawson Mine
1182,"Camden County (GA), green power plant",USA,2024.0,,Operational,PEM,H2,,40 Mwel -15 t H2/d production,40,7692.307692307692,[971] [2229] [2286],"Camden County,Georgia, USA"
1183,Pego coal plant transition,PRT,,,Feasibility study,Other Electrolysis,H2,,0.5MW or 1.5t H2/y,0.5,111.11111111111111,[973],Pego coal plant 
1184,Sealhyfe,FRA,2023.0,2023,DEMO,PEM,H2,,"1MW, 400 kg H2/d",1,192.30769230769232,"[974],[1584]","Le Croisic, Loire-Atlantique, Pays de la Loire, France"
1185,Rajasthan pilot plant,IND,2021.0,,Operational,Other Electrolysis,Ammonia,,5t NH3/day - 2.1MW,2.1,466.66666666666674,[975][1196],Random location in Rajasthan
1186,OCP Group demo project,MAR,,,FID/Construction,Other Electrolysis,Ammonia,,4t NH3/day production,,0,[976][994][1126],Jorf Lasfar
1187,Hofors rolling project,SWE,2023.0,,Operational,ALK,H2,,17MW,17,3695.6521739130435,[978][1118] [1677] [1999] [2081],Ovako Hofors  plant
1188,Hyrasia one,KAZ,2032.0,,Feasibility study,Other Electrolysis,Ammonia,,20GW,20000,4444444.444444445,[980][990] [1088][1484][1804] [2142] [2196],Karakiya district 
1190,"Green Hydrogen Oman (GEO), phase 2 (former Oman-Al Wusta green H2 project)",OMN,2038.0,,Feasibility study,Other Electrolysis,Ammonia,,14GW,9333,2074000.0000000002,[913] [928][980][3159],Al Wusta
1191,AquaVentus (completion),DEU,2035.0,,Concept,Other Electrolysis,H2,,10GW,5000,1111111.1111111112,[677] [980],Heligoland
1192,EI-H2 - Aghada (phase 2),IRL,,,Concept,Other Electrolysis,H2,1,2.7GW,2650,588888.8888888889,[981],Aghada
1193,EI-H2 - Aghada (phase 3),IRL,,,Concept,Other Electrolysis,Ammonia,,500MW,500,111111.11111111112,[981],Aghada
1195,New Jersey Offshore Wind plant,USA,,,Feasibility study,Other Electrolysis,H2,,5-10MW,7.5,1666.6666666666667,[984],New Jersey
1196,Delicias Solar,MEX,2026.0,,Feasibility study,Other Electrolysis,H2,,35MW,35,7777.777777777778,[985],Guanajuato
1197,Pico Truncado,ARG,,,Concept,Other Electrolysis,H2,,,,0,[986],
1198,Dhamma Energy Guanajuato ,MEX,,,Concept,Other Electrolysis,H2,,12.6 kt H2/y production,242.4195782668924,53871.01739264276,[3314],Guanajuato
1199,"Mexican Green Hydrogen Hub, phase 1",MEX,2028.0,,Feasibility study,PEM,Ammonia,,1 Mt urea/y capacity,680.5862255630282,130881.96645442849,[987][1817],Durango
1200,Algeciras Bay,ESP,,,Feasibility study,Other Electrolysis,H2,,237MW,237,52666.66666666667,[988][991],Algeciras
1202,GREEN H2 Langosteira,ESP,2026.0,,Feasibility study,Other Electrolysis,H2,,1 MW,1,222.22222222222223,[992],Finisterre
1204,Pouakai - Taranaki - NH3,NZL,,,Feasibility study,NG w CCUS,Ammonia,,3400t NH3/d - 0.5 Mt CO2/y,,62688.22138470759,[996][997],aprox location
1205,Pouakai - Taranaki - H2,NZL,,,Feasibility study,NG w CCUS,H2,,600t H2/d - 0.5 Mt CO2/y,,62688.22138470759,[996][997],Taranaki
1215,Jintongling Biomass Gasification ,CHN,,,FID/Construction,Biomass,H2,,200 million Nm3 H2/y,,22831.0502283105,,
1217,Khalifa Industrial Zone Abu Dhabi (KIZAD) Helios Industry- phase 2,ARE,,,Feasibility study,ALK,Ammonia,,200kt NH3/y production,584.3494855230072,127032.49685282764,[927],Abu Dhabi
1218,Veolia wastewater sludge plant,FRA,2024.0,,Operational,Biomass,H2,,,,0,[999],
1220,IPCEI Blue Danube - first project,DEU,,,Feasibility study,Other Electrolysis,H2,,20MW,20,4444.444444444444,[1004],
1221,Bay.H2 Project - Bayern Oil Refinery,DEU,2027.0,,Feasibility study,PEM,H2,1,120MW,120,23076.923076923078,[1004],Neustadt
1222,Enid fertiliser,USA,1982.0,,Operational,NG w CCUS,Ammonia,,0.68 Mt CO2/y,,85255.98108320232,[1005],Enid
1223,Ervia CCS - Irving refinery,IRL,2030.0,,Feasibility study,NG w CCUS,H2,1,2.5 Mt CO2/y,,313441.1069235379,[1006],Irving refinery
1224,Energean Prinos oil field,GRC,,,Feasibility study,NG w CCUS,H2,,2.5 Mt CO2/y,,313441.1069235379,[1007],Prinos oil field
1227,Sinopec Zhongyuan Oilfield EOR,CHN,2015.0,2020,Decommisioned,Coal w CCUS,H2,1,100kt CO2/y,,5984.547897329096,,"Puyang, Henan province"
1228,Changqing Oil Field EOR,CHN,2015.0,,Operational,Coal w CCUS,MeOH,,50kt CO2/y,,2992.273948664548,,
1229,Fortescue Future Industries - Port of Pecem  (Phase I and II),BRA,2027.0,,Feasibility study,Other Electrolysis,Ammonia,,174.3 kt H2/y ,1006.0412498076035,223564.72217946747,[1010][1011][2094][2105][2626],Port of Pecem/Ceará State
1230,Marítimo Dragão - Qair,BRA,2028.0,,Feasibility study,Other Electrolysis,H2,,296 kt H2/y,1708.4808373095273,379662.4082910061,[1010][1011][2156],Port of Pecem/Ceará State
1231,RIST Hydrogen Research Centre - nuclear Hydrogen project,KOR,,,DEMO,Other Electrolysis,H2,,,,0,[1012],
1232,Rhode Green Energy Park ,IRL,,,DEMO,Other Electrolysis,H2,,,,0,[1013],Rhode Green Energy Park 
1233,Lysekil refinery (phase 2),SWE,,,Feasibility study,Other Electrolysis,H2,,200-500MW,300,66666.66666666667,[722],Lysekil refinery
1234,KIMA - Aswan electrolyser,EGY,2000.0,2019,Decommisioned,ALK,Ammonia,,165MW,,0,[1015][1016],Aswan
1235,Zimbabwe NH3 plant,ZWE,1975.0,2015,Decommisioned,ALK,Ammonia,,100MW,,0,[1015],
1239,APEX-Plug Power H2 plamt,USA,,,Feasibility study,PEM,H2,,30 t H2/d production,182.58426966292132,35112.35955056179,[1019],Random location in the USA
1240,3 x 1250 kW projects in USA,USA,2000.0,,Operational,PEM,H2,,3 x 1250kw,3.75,721.1538461538462,[1020],
1241,1 x 500 kW projects in USA,USA,2000.0,,Operational,PEM,H2,,500kw,0.5,96.15384615384616,[1020],
1243,18x180 kW projects in USA,USA,2000.0,,Operational,PEM,H2,,18x180kw,3.24,623.0769230769231,[1020],
1245,12 x 120 kW projects in USA,USA,2000.0,,Operational,PEM,H2,,12x120kw,1.44,276.9230769230769,[1020],
1247,"Frontier Energy, H2@Scale - gasification",USA,2020.0,2023,DEMO,Biomass,H2,,75kg H2/d,,35.1123595505618,[636][637][1021],
1248,Iberdrola-Foresa Green Methanol (phase 1),ESP,2027.0,,Feasibility study,PEM,MeOH,,5MW,5,961.5384615384615,[1023],Foresa plant in Caldas de Reis (Galicia)
1249,Iberdrola-Foresa Green Methanol (phase 2),ESP,2027.0,,Feasibility study,Other Electrolysis,MeOH,,150MW,150,33333.333333333336,[1023],Foresa/FINSA plant in Galicia (Begonte)
1250,Danskammer Energy - Newburgh,USA,,,Concept,Other Electrolysis,H2,,,,0,[1025],
1251,Balico - Virginia,USA,,,Concept,Other Electrolysis,H2,,,,0,[1025],Random location in Virginia
1252,"Harrison Power Project in Cadiz, Ohio",USA,,,Concept,Other Electrolysis,H2,,,,0,[1025],"Cadiz, Ohio"
1253,Western Green Energy Hub Phase 1,AUS,,,Concept,Other Electrolysis,Ammonia,,0.33 MilliontonsH2/y (production),3809.450515622595,846544.5590272434,[1027] 2025 ref [3064],Kalgoorlie - Boulder
1254,APA Renewable Methane Demonstration Project,AUS,2023.0,,DEMO,Other Electrolysis,CH4,,0.005MW,0.005,1.1111111111111112,[1029],
1255,Bio-Hydrogen Demonstration Plant,AUS,,,DEMO,Biomass,H2,1,200-400kW,,0.011543789441280592,[1028],
1256,Bundaberg Hydrogen Hub,AUS,2028.0,,Feasibility study,PEM,H2,,80MW,80,15384.615384615385,[1031],Bundaberg
1257,Daintree Microgrid Project,AUS,,,Concept,Other Electrolysis,H2,,,,0,[1032],Daintree
1258,Christmas Creek Renewable Hydrogen Mobility Project,AUS,2024.0,,Operational,PEM,H2,,two 0.7MW,1.4,269.2307692307692,[1036] [2637],"Christmas Creek, Pilbara"
1259,ABEL Energy Bell Bay Powerfuels Project - phase 1,AUS,2028.0,,Feasibility study,ALK,MeOH,,260 MW - 300kt MeOH/y production,260,56521.739130434784,[1039][1765][2582],Bell Bay
1260,Grange Resources Renewable Hydrogen,AUS,,,Feasibility study,Other Electrolysis,H2,,90-100MW,95,21111.111111111113,[1040],
1261,Melbourne Hydrogen Hub,AUS,2026.0,,Feasibility study,PEM,H2,,10MW,10,1923.076923076923,[1041],Melbourne
1262,Portland Renewable Hydrogen Project,AUS,2029.0,,Feasibility study,Other Electrolysis,H2,,50MW,50,11111.111111111111,[1042],Port of Portland
1263,Swinburne University of Technology Victorian Hydrogen Hub – CSIRO Hydrogen Refuelling Station,AUS,2023.0,,Operational,Other Electrolysis,H2,,20 kg H2/d,0.042134831460674156,9.363295880149813,[1043] [1639] [2274],Melbourne
1264,Agnes Energy Hub,ITA,,,Concept,Other Electrolysis,H2,,450 MW,450,100000.00000000001,[1556][2997],
1265,"Konin Power Plant, phase 2 - ZE PAK",POL,2026.0,,Concept,PEM,H2,,5MW,2.5,480.7692307692308,"[846], Platts European Gas Daily 23-07-2021, [1635]",Konin Power Plant
1266,"Konin Power Plant, phase 3",POL,2030.0,,Feasibility study,PEM,H2,,50MW,45,8653.846153846154,"[846], Platts European Gas Daily 23-07-2021, [1635]",Konin Power Plant
